   variables, default_vals,initial_vals,water_link,diss_flux_link,part_sed_link,part_sed_scale,swibc_scale,deep_vals,Desert Island Disk,initial_12,initial_13,initial_14
      'salt',3.50E+04,1.00E-10,        '',        '',            '', ,1,-999,85000,85000,85000,85000
       'mpb',1.00E-10,1,            '',        '', 'PHY_mpb_swi', ,1,-999,1.00E-10,1.00E-10,1.00E-10,1.00E-10
'pomspecial',1.00E-10,1.00E-10,       '',        '', 'MA2_mag_swi_c', ,0.001,-999,1.00E-10,1.00E-10,1.00E-10,1.00E-10
       'poml',1.00E-10,1.00E-10,       '',        '','OGM_poc_swi',0.5,0.999,-999,1.00E-10,1.00E-10,1.00E-10,1.00E-10
       'pomr',2.20E-01,28000,       '',        '','OGM_poc_swi',0.5,0.01,-999,1.00E-10,1.00E-10,1.00E-10,1.00E-10
      'pocs',1.00E-10,1.00E-10,        '',        '', 'MA2_mag_swi_c', ,0.99,-999,1.00E-10,1.00E-10,1.00E-10,1.00E-10
      'pons',1.00E-10,1.00E-10,        '',        '', 'MA2_mag_swi_n', ,0.001,-999,1.00E-10,1.00E-10,1.00E-10,1.00E-10
      'pops',1.00E-10,1.00E-10,        '',        '', 'MA2_mag_swi_p', ,1,-999,1.00E-10,1.00E-10,1.00E-10,1.00E-10
      'docl',1.00E-10,28000,           '', 'SDF_Fsed_doc',       '', ,1,-999,1.00E-10,1.00E-10,1.00E-10,1.00E-10
      'docr',1.00E-10,28000,        '',        '',            '', ,1,-999,1.00E-10,1.00E-10,1.00E-10,1.00E-10
      'donl',1.00E-10,2800,        '', 'SDF_Fsed_don',       '', ,1,-999,1.00E-10,1.00E-10,1.00E-10,1.00E-10
      'donr',1.00E-10,2800,        '',        '',            '', ,1,-999,1.00E-10,1.00E-10,1.00E-10,1.00E-10
      'dopl',1.00E-10,280,        '', 'SDF_Fsed_dop',       '', ,1,-999,1.00E-10,1.00E-10,1.00E-10,1.00E-10
      'dopr',1.00E-10,280,        '',        '',            '', ,1,-999,1.00E-10,1.00E-10,1.00E-10,1.00E-10
      'pocl',1.00E-10,28000,        '',        '', 'OGM_poc_swi',0.5,0.5,-999,1.00E-10,1.00E-10,1.00E-10,1.00E-10
      'pocr',1.00E-10,28000,        '',        '', 'OGM_poc_swi',0.5,0.5,-999,2700000,18000000,33300000,48600000
      'ponl',1.00E-10,2800,        '',        '', 'OGM_pon_swi',0.5,0.2,-999,1.00E-10,1.00E-10,1.00E-10,1.00E-10
      'ponr',1.00E-10,2800,        '',        '', 'OGM_pon_swi',0.5,0.8,-999,3.00E+05,2.00E+06,3.70E+06,5.40E+06
      'popl',1.00E-10,280,        '',        '', 'OGM_pop_swi',0.5,0.5,-999,1.00E-10,1.00E-10,1.00E-10,1.00E-10
      'popr',1.00E-10,280,        '',        '', 'OGM_pop_swi',0.5,0.5,-999,3158,21053,38948,56843
       'oxy',2.33E+02,1.00E-10, 'OXY_oxy', 'SDF_Fsed_oxy',       '', ,1,-999,1.00E-10,1.00E-10,1.00E-10,1.00E-10
       'nit',1.00E-10,1.00E-10, 'NIT_nit', 'SDF_Fsed_nit',       '', ,0.99,-999,1.00E-10,1.00E-10,1.00E-10,1.00E-10
       'amm',1.00E-10,33000, 'NIT_amm', '',       '', ,1,-999,200,200,200,200
       'n2o',1.00E-10,1.00E-10,        '',        '',        '', ,1,-999,0.01,0.01,0.01,0.01
       'no2',1.00E-10,1.00E-10,        '',        '',        '', ,0.01,-999,1.00E-10,1.00E-10,1.00E-10,1.00E-10
        'n2',1.00E-10,1.00E-10,        '',        '',        '', ,1,-999,1.00E-10,1.00E-10,1.00E-10,1.00E-10
       'so4',3.10E+04,35000,        '',        '',        '', ,1,-999,35000,35000,35000,35000
       'h2s',1.00E-10,1.00E-10,        '',        '',        '', ,1,-999,72,72,72,72
       'frp',1.00E-10,1000, 'PHS_frp', 'SDF_Fsed_frp',   '', ,1,-999,5,5,5,5
       'pip',1.00E-10,1.00E-10,        '',        '',        '', ,0.2,-999,632,4211,7790,11369
       'ch4',1.00E-10,1.00E-10,        '',        '',        '', ,0.8,-999,2526,16842,31158,45474
       'dic',1,1,        '',        '',        '', ,1,-999,0.01,0.01,0.01,0.01
      'mnii',1.00E-10,1.00E-10,        '',        '',        '', ,1,-999,20,20,20,20
     'mno2a',1.00E-10,141,        '',        '',        '', ,1,-999,1.00E-10,1.00E-10,1.00E-10,1.00E-10
     'mno2b',1.00E-10,10,        '',        '',        '', ,1,-999,10,10,10,10
!    'mnco3',1.00E-10,1.00E-10,        '',        '',        '', ,1,-999,10,10,10,10
      'feii',0.339,0.339,        '',        '',        '', ,1,-999,1.00E-10,1.00E-10,1.00E-10,1.00E-10
    'feoh3a',0.0109,11000,        '',        '',        '', ,1,-999,0.000615,0.000615,0.000615,0.000615
    'feoh3b',1.00E-10,1.00E-10,        '',        '',        '', ,1,-999,1,1,1,1
       'fes',1.00E-10,3700,        '',        '',        '', ,1,-999,1.00E-10,1.00E-10,1.00E-10,1.00E-10
      'fes2',1.00E-10,37,        '',        '',        '', ,1,-999,1300,43000,84700,126400
!    'feco3',2.2,1.00E-10,        '',        '',        '', ,1,-999,92000,692000,1292000,1892000
!       'ca',0.375,0.375,        '',        '',        '', ,1,-999,1.00E-10,1.00E-10,1.00E-10,1.00E-10
!    'caco3',0.02,0.371,        '',        '',        '', ,1,-999,150000,470000,790000,1110000
